doi,title,year,is_oa,pdf_source,pdf_url,decision,similarity_score
10.18653/v1/2025.naacl-long.310,VisDoM: Multi-Document QA with Visually Rich Elements Using Multimodal Retrieval-Augmented Generation,2025,True,,https://aclanthology.org/2025.naacl-long.310.pdf,Exclude,0.3517274558544159
10.18653/v1/2025.sdp-1.20,ExpertNeurons at SciVQA-2025: Retrieval Augmented VQA with Vision Language Model (RAVQA-VLM),2025,True,,https://aclanthology.org/2025.sdp-1.20.pdf,Exclude,0.19685372710227966
10.1145/3503161.3548315,Self-supervised Scene Text Segmentation with Object-centric Layered Representations Augmented by Text Regions,2022,True,repository,https://arxiv.org/pdf/2308.13178,Include,0.26173558831214905
10.18653/v1/2023.insights-1.2,ERATE: Efficient Retrieval Augmented Text Embeddings,2023,True,,https://aclanthology.org/2023.insights-1.2.pdf,Exclude,0.3121071755886078
10.1101/2025.10.17.25338266,Augmenting Large Language Models and Retrieval-Augmented Generation with an Evidence-Based Medicine-Enabled Agent System,2025,True,repository,https://www.medrxiv.org/content/medrxiv/early/2025/10/20/2025.10.17.25338266.full.pdf,Exclude,0.25523579120635986
10.32996/jcsts.2025.7.1.2,Securing Retrieval-Augmented Generation Pipelines: A Comprehensive Framework,2025,True,publisher,https://www.al-kindipublisher.com/index.php/jcsts/article/download/8586/7287,Exclude,0.14608527719974518
10.18653/v1/2023.emnlp-main.784,Predictive Chemistry Augmented with Text Retrieval,2023,True,,https://aclanthology.org/2023.emnlp-main.784.pdf,Exclude,0.28877031803131104
10.21203/rs.3.rs-6288322/v1,Intelligent Question-Answering on Geomorphology Knowledge Based on Knowledge Graph Retrieval-Augmented Generation Technology,2025,True,,https://www.researchsquare.com/article/rs-6288322/latest.pdf,Exclude,0.2274334579706192
10.1109/icdar.2019.00083,Adversarial Generation of Handwritten Text Images Conditioned on Sequences,2019,True,repository,https://arxiv.org/pdf/1903.00277,Exclude,0.18210867047309875
10.18653/v1/2025.sdp-1.11,Predicting The Scholarly Impact of Research Papers Using Retrieval-Augmented LLMs,2025,True,,https://aclanthology.org/2025.sdp-1.11.pdf,Exclude,0.3558948040008545
10.6025/jdim/2025/23/3/190-195,Adaptive and Enhanced Retrieval Augmented Generation (RAG) Systems: A Summarised Survey,2025,True,publisher,https://doi.org/10.6025/jdim/2025/23/3/190-195,Exclude,0.361329585313797
10.18653/v1/2025.acl-long.261,RPO: Retrieval Preference Optimization for Robust Retrieval-Augmented Generation,2025,True,,https://aclanthology.org/2025.acl-long.261.pdf,Exclude,0.36490342020988464
10.71097/ijsat.v14.i3.6987,Retrieval-Augmented Generation for Scalable Hyper-Personalized Messaging in Salesforce Marketing Cloud,2023,True,publisher,https://www.ijsat.org/papers/2023/3/6987.pdf,Exclude,0.19477206468582153
10.36948/ijfmr.2024.v06i06.33140,A Comprehensive Approach to Summarization: The Role of Retrieval-Augmented Generation,2024,True,publisher,https://www.ijfmr.com/papers/2024/6/33140.pdf,Exclude,0.4048480987548828
10.1109/ms.2025.3549628,From Code Generation to Software Testing: AI Copilot With Context-Based Retrieval-Augmented Generation,2025,True,repository,https://arxiv.org/pdf/2504.01866,Exclude,0.1534833014011383
10.18653/v1/2023.findings-emnlp.90,Syntax-Aware Retrieval Augmented Code Generation,2023,True,,https://aclanthology.org/2023.findings-emnlp.90.pdf,Exclude,0.2065357118844986
10.18653/v1/2025.findings-acl.800,PISCO: Pretty Simple Compression for Retrieval-Augmented Generation,2025,True,,https://aclanthology.org/2025.findings-acl.800.pdf,Exclude,0.43875589966773987
10.59820/tekomin.v3i2.336,IMPLEMENTASI RETRIEVAL AUGMENTED GENERATION UNTUK EVALUASI PROPOSAL TUGAS AKHIR MAHASISWA,2025,True,publisher,https://jurnal.politeknikpajajaran.ac.id/index.php/tekomin/article/download/336/127,Exclude,0.3606858253479004
10.5121/ijnlc.2024.13103,Rag-Fusion: A New Take on Retrieval Augmented Generation,2024,True,publisher,https://doi.org/10.5121/ijnlc.2024.13103,Exclude,0.3581528067588806
10.18653/v1/2022.emnlp-main.8,Toward Unifying Text Segmentation and Long Document Summarization,2022,True,,https://aclanthology.org/2022.emnlp-main.8.pdf,Include,0.44628968834877014
10.34218/ijcet_16_01_244,ENHANCING DATA ANALYTICS WITH RETRIEVAL-AUGMENTED GENERATION WORKLOADS,2025,True,publisher,https://doi.org/10.34218/ijcet_16_01_244,Exclude,0.35408124327659607
10.56726/irjmets79964,Advancing Retrieval-Augmented Generation for Enhanced QA Performance: A Multi-Agent ChatPDF Approach,2025,True,publisher,https://doi.org/10.56726/irjmets79964,Exclude,0.3225197196006775
10.5121/csit.2025.150905,Optimizing Retrieval-Augmented Generation for Electrical Engineering: A Case Study on ABB Circuit Breakers,2025,True,,https://doi.org/10.5121/csit.2025.150905,Include,0.42540743947029114
10.47611/jsrhs.v12i4.6213,A Retrieval-Augmented Generation Based Large Language Model Benchmarked On a Novel Dataset,2023,True,publisher,https://www.jsr.org/hs/index.php/path/article/download/6213/2485,Exclude,0.34878745675086975
